i,c50,i,i
2,LakeTahoe,220,5
4,SanFrancisco,200,2
6,LakeTahoe,230,1
8,SanFrancisco,210,2
10,LakeTahoe,230,5
12,SanFrancisco,210,5
14,LakeTahoe,250,0
16,SanFrancisco,240,0
18,LakeTahoe,220,3
20,SanFrancisco,240,7
22,LakeTahoe,220,0
24,SanFrancisco,220,2
26,LakeTahoe,180,2
28,SanFrancisco,170,1
30,LakeTahoe,180,2
32,SanFrancisco,190,2
34,LakeTahoe,190,4
36,SanFrancisco,190,5
38,LakeTahoe,170,7
40,SanFrancisco,170,1
42,LakeTahoe,150,6
44,SanFrancisco,120,8
46,LakeTahoe,170,4
48,SanFrancisco,160,4
50,LakeTahoe,160,4
52,SanFrancisco,170,3
54,LakeTahoe,140,9
56,SanFrancisco,170,0
58,LakeTahoe,120,0
